Dim.Class,Int/Ext,Longitude (°),Latitude (°),start,end,Depth (%wt),Distance (m),Girth Weld No.
Pitting,Int,26.10473,41.35077,275.5,270.5,5,7341.75,6020
General,Ext,26.10472,41.35077,290,284,10,7353.91,6030
Pitting,Ext,26.10471,41.35077,315,312,21,7377.98,6050
General,Ext,26.1047,41.35077,159,153,5,7581.91,6220
Pitting,Ext,26.10468,41.35078,260,255,13,7589.78,6220
General,Ext,26.10467,41.35078,157,150,8,7617.26,6240
General,Ext,26.10467,41.35078,94.5,88.5,16,7618.01,6240
Pitting,Ext,26.10466,41.35078,282.5,277.5,7,7618.35,6240
Pitting,Ext,26.10465,41.35079,269,265,10,7618.42,6240
Pitting,Ext,26.10464,41.35079,126.5,121.5,16,7618.97,6240
Pitting,Ext,26.10463,41.35079,233,228,21,7619.11,6240
Circumferential Grooving,Ext,26.10462,41.35079,295.5,286.5,9,7894.47,6460
General,Int,26.10486,41.35077,317.5,251.5,21,7930.24,6490
General,Int,26.10459,41.35079,348,261,9,7937.92,6500
General,Int,26.10457,41.35079,332,264,13,7948.68,6510
General,Int,26.10455,41.35079,327.5,262.5,10,7959.31,6520
General,Int,26.10453,41.35079,254,249,14,7971.48,6530
Pitting,Ext,26.1045,41.35079,310.5,305.5,13,8019.18,6560
General,Ext,26.10447,41.35078,107,101,9,8322.12,6810
Circumferential Grooving,Ext,26.10446,41.35078,318.5,269.5,12,8357.1,6830
Circumferential Grooving,Ext,26.10445,41.35078,254,227,11,8369.61,6840
General,Ext,26.10451,41.35079,303.5,298.5,13,8604.07,7030
General,Ext,26.10448,41.35079,253.5,247.5,9,8666.16,7080
General,Ext,26.10442,41.35078,45.5,38.5,15,8667.74,7080
Pitting,Ext,26.1046,41.35079,317,313,14,8668.32,7090
General,Ext,26.10437,41.35078,356.5,272.5,12,8718.2,7120
General,Ext,26.1043,41.3508,347,297,7,8718.4,7130
General,Ext,26.10421,41.35082,232,167,21,8730.66,7130
General,Ext,26.10415,41.35083,77,329,18,8730.67,7130
General,Ext,26.10409,41.35085,317,274,17,8743.18,7140
Circumferential Grooving,Ext,26.10402,41.35086,270,262,10,8743.46,7150
Circumferential Grooving,Ext,26.10311,41.35092,297,268,5,8755.72,7150
Circumferential Grooving,Ext,26.10306,41.35092,299,289,10,8756,7160
General,Ext,26.10363,41.35091,280.5,251.5,13,8780.77,7170
General,Ext,26.10356,41.35092,42.5,293.5,11,8790.85,7180
General,Ext,26.10369,41.35091,76.5,69.5,13,8800.59,7190
General,Ext,26.10344,41.35092,303,268,19,8801.69,7190
General,Ext,26.10326,41.35092,295,287,17,8876.4,7250
Pitting,Ext,26.1025,41.35097,268,264,13,8876.51,7250
General,Ext,26.1025,41.35098,87.5,58.5,8,8886.43,7260
General,Ext,26.10247,41.351,224,123,11,8886.44,7260
General,Ext,26.10231,41.35107,248.5,238.5,7,8886.45,7260
General,Ext,26.10227,41.35108,54,310,7,8886.46,7260
General,Ext,26.10216,41.35107,104.5,97.5,9,9078.88,7420
General,Ext,26.10198,41.35107,163,158,11,9078.97,7420
Pitting,Ext,26.10185,41.35107,283.5,276.5,6,9136.37,7460
General,Ext,26.10176,41.35108,292,282,15,9248.9,7550
General,Ext,26.10169,41.35108,30,350,10,9261.42,7560
General,Ext,26.10238,41.35104,324,275,21,9261.43,7560
General,Ext,26.10236,41.35106,293,253,17,9273.89,7570
General,Ext,26.1024,41.35102,316,306,8,9273.91,7570
General,Ext,26.10112,41.35107,350.5,210.5,19,9286.39,7580
General,Ext,26.1012,41.35107,274.5,193.5,20,9311.44,7600
General,Ext,26.10158,41.35108,201,193,5,9376.27,7660
General,Ext,26.10136,41.35107,179,170,21,9436.25,7700
General,Ext,26.10126,41.35106,244,237,18,9521.66,7770
General,Ext,26.10147,41.35107,36,26,18,9611.09,7840
General,Ext,26.10166,41.35108,305.5,296.5,13,9623.6,7850
General,Ext,26.10106,41.35106,190,133,5,9636.07,7860
General,Ext,26.10103,41.35107,23.5,309.5,20,9636.09,7860
Pitting,Ext,26.10086,41.35107,165.5,160.5,16,9636.3,7870
General,Ext,26.10096,41.35107,304.5,262.5,14,9748.77,7950
General,Int,26.10079,41.35108,70.5,37.5,21,9817.87,8010
General,Int,26.10074,41.35109,86,78,5,9817.9,8010
General,Ext,26.10069,41.3511,213,206,19,9907.58,8080
General,Ext,26.10054,41.3511,254.5,210.5,6,9932.78,8100
General,Ext,26.10064,41.3511,218.5,180.5,21,9932.84,8110
General,Ext,26.10045,41.3511,47.5,20.5,5,9995.17,8150
Circumferential Grooving,Ext,26.09952,41.35102,268,241,11,9995.19,8150
General,Ext,26.09939,41.35101,291,283,17,9995.19,8150
Pitting,Ext,26.09929,41.35101,20,17,11,10020.43,8180
Circumferential Grooving,Ext,26.09986,41.35107,358,348,16,10020.44,8180
General,Ext,26.09972,41.35105,315,307,9,10056.15,8200
General,Ext,26.0996,41.35102,153,145,10,10074.36,8220
General,Ext,26.10034,41.35109,57,19,16,10094.93,8230
General,Ext,26.10017,41.35109,330.5,246.5,21,10119.95,8250
General,Ext,26.09999,41.35108,350,235,14,10132.47,8260
General,Ext,26.09921,41.351,90,90,16,10145.07,8280
Pitting,Int,26.09896,41.351,260,255,9,10146.49,8280
Pitting,Ext,26.09874,41.351,282.5,277.5,16,10147.28,8280
Pitting,Ext,26.09869,41.351,290.5,286.5,15,10159.61,8290
General,Ext,26.09855,41.35098,307,298,9,10220.01,8330
General,Ext,26.09841,41.35096,195,186,15,10232.52,8340
General,Ext,26.09838,41.35095,329.5,322.5,16,10232.54,8340
Circumferential Grooving,Ext,26.09836,41.35095,159,150,9,10452.38,8520
General,Ext,26.09829,41.35096,97,41,21,10452.39,8520
General,Ext,26.09818,41.35098,107.5,100.5,14,10660.24,8700
General,Ext,26.09798,41.351,203,171,7,10697.47,8720
General,Ext,26.09779,41.35102,303.5,295.5,10,10759.64,8770
Circumferential Grooving,Ext,26.0977,41.35103,277.5,234.5,19,10809.63,8810
General,Ext,26.09762,41.35104,45.5,351.5,15,10822.17,8820
General,Ext,26.09757,41.35105,299.5,291.5,20,10847.16,8840
Pitting,Ext,26.09753,41.35107,351,347,18,10860.49,8860
Pitting,Ext,26.09744,41.3511,255.5,250.5,15,10860.89,8860
General,Ext,26.09734,41.35113,247,242,19,10860.95,8860
Pitting,Ext,26.09723,41.35116,325.5,321.5,19,10861.27,8860
Pitting,Ext,26.09718,41.35117,54,50,15,10946.73,8930
Pitting,Ext,26.0972,41.35117,277,274,5,10959.1,8930
Circumferential Grooving,Ext,26.09721,41.35117,305.5,262.5,18,10971.53,8940
General,Ext,26.09722,41.35116,318.5,286.5,7,10984.04,8950
General,Ext,26.09709,41.35117,348,250,11,10996.53,8960
General,Ext,26.09713,41.35117,246.5,240.5,6,11046.3,9010
Pitting,Ext,26.09714,41.35117,265.5,260.5,16,11048.02,9010
General,Ext,26.09715,41.35117,315,228,13,11058.03,9010
Circumferential Grooving,Ext,26.09711,41.35117,276.5,249.5,13,11058.3,9020
Pitting,Ext,26.0971,41.35117,203,199,14,11245.28,9160
General,Ext,26.09694,41.35122,254.5,246.5,20,11284.08,9200
Pitting,Int,26.09694,41.35122,256.5,252.5,9,11285.42,9200
Pitting,Int,26.09695,41.35122,261,257,10,11286.01,9200
